Sender,Subject,Body,Attachment Saved
english-quora-digest@quora.com,"=?utf-8?q?Hi_I=27m_Riya=2C_I=27m_24_years_since_2020_i_started_living_alone_?=
 =?utf-8?q?I_came_out_of_the_house_i_=2E=2E=2E?=","Hi I'm Riya, I'm 24 years since 2020 i started living alone I came out of the house i ...Hi I'm Riya, I'm 24 years since 2020 i started living alone I came out of the house i paid my own colleges fees and did my BBA . Since then I was into real-estate. Soo working here in there . … Top stories for Support Hannah • Posted Dec 16, 2024Hi I'm Riya, I'm 24 years since 2020 i started living alone I came out of the house i paid my own colleges fees and did my BBA . Since then I was into real-estate. Soo working here in there . By tr... Read more »676557 What skincare products penetrate the deepest into the skin?Luisa Fanzani, Skincare formulator and brand owner @ Luisa True Skincare • Updated February 20, 2022The FORMULATION of skincare products is what allows them to penetrate the skin. A common misconception is that skincare ingredients HAVE to penetrate the skin to be effectiv... Read more »15416 Is cataract surgery worth the fuss and discomfort?Steven Horii, Emeritus Professor of Radiology (2021 - present) at Perelman School of Medicine ... • Answered July 12I am a semi-retired radiologist. Using my eyes to view medical images is essential to what I do. I have always been a high myope - the “Coke bottle bottom” eyeglass sort. W... Read more »83 My HR manager asked me to resign. When I refused, he handed me a termination letter, severance check, and relieving letter. Clearly not all is right. What can I do?Mark Pompey, Student, Sr. IT Technician • Answered December 25, 2024One thing you can keep in mind. Someone mentioned that if you resign, you don’t have to tell future employers you were fired. Keep in mind, many companies and organizations... Read more »3.6K393 My husband found my Tinder profile and now wants to divorce me. What do I do?Phoenixx • Answered April 21, 2023Respect his wishes, he is looking out for himself. He sees your lack of self respect does not match his self respect. Nothing you can do, I wouldn't trust you one bit and d... Read more »26.5K4K What are kidney failure symptoms?Clinic One, Kathmandu's Preventative Health Clinic for Health Facilies • Answered October 17, 2024Kidney failure is a condition in which one or both of the kidneys no longer work on their own, as it is caused by diabetes, high blood pressure, and acute kidney injuries. ... Read more »94358 My 12 year old son is crying because I deleted his 5 year old Minecraft world. How do I explain to him that it's just a game?Asked in Video Games Enthusiast 🎮🕹️👾🦕 • Answered by JirachiOfDreams • May 23OH MY GOD WHAT IS WRONG WITH YOU??? Not only has he spent THOUSANDS of hours on it, and made a bunch of memories on it, but he made it when he was SEVEN. Just, go apologize... Read more »1K147 How much did you score in 12th board's?Prerna, studied at Kendriya Vidyalaya • Answered July 21, 2023Chem: 98, phy: 95, Maths: 79 (practice kam thi) Cs: 91... Read more »1.3K389 What is the salary after SSC CGL?Satyam, Inspector at Central Board of Excise and Customs (2023-present) • Answered July 1I have been working as a GST Inspector which is 4600 grade pay post. So, i will tell you what salary you will get if you join a 4600 grade pay post. Basic Pay - 46200 Dearnes... Read more »21440 I am 39, have no skills, no education, and no job. What should I do?Suzy Q, former Now Retired (1985-2023) • Answered July 15Go back to school, work part time if you need to, do want you should have done many years ago, you say your 39 wth you been doing,? your old enough to know better, no sympa... Read more »2268 How do you stop dandruff?Wesley Bennett, Bed Bug Survivor, Blogger and Author • Updated March 27OK HERE WE GO. I passively dealt with dandruff for most of my adult life. I knew I had dandruff and I was able to keep it under control with an anti-dandruff shampoo. I fin... Read more »36741 Which vitamin is called the “skin vitamin”?The Progressive Medico, studies Bachelor of Unani Medicine and Surgery at Ayurvedic and Unani Tibbia Col... • Answered June 29Several vitamins are crucial for maintaining healthy skin. 1)Vitamins A, C, and E are most important. Vitamin A is found in foods like spinach, sweet potatoes, carrots, broc... Read more »513Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
sugaya.shunki@atb-jobs.com,"=?utf-8?Q?=E2=9A=A1?= Message Candidates Anytime from Your Employer
 Dashboard.","Hi Happy Haat,





🚀 Supercharge Your Hiring Today!
The secret weapon for fast-track recruitment is here



Dear Hiring Manager,
Finding perfect candidates just got 10x easier! Our upgraded atB Jobs platform lets you connect with top talent in seconds - no more waiting, no more missed opportunities.



✨ Your New Hiring Superpowers ✨





Laser-Focused Candidate Search
Pinpoint ideal candidates by name, role, or application date with military-grade precision.




 




Full Profile Access in One Click
Get complete candidate dossiers instantly - skills, experience, everything you need to know.




 




Instant Messaging Magic
Message top candidates directly and watch your response rates skyrocket!








⏳ Don't Let Top Talent Slip Away!
Every minute you wait, your dream candidate might be accepting another offer...
Start Hiring Now → See How It Works
Join 5,000+ employers who filled positions 40% faster






Warm regards,
The atB Jobs Team
This is a system generated message. Do not reply.










atB Jobs Bangladesh
11th Floor, MMK-Aakash Avenue, Plot No. 12, Kamal Ataturk Avenue, Gulshan-2, Dhaka-1212, Bangladesh
+8801400492818
info@atb-jobs.com






    Don't want any more emails? 
    
       Unsubscribe here",No Attachment
events@10times.com,"Your Competitors Are Showcasing =?UTF-8?B?4oCTIFdoeSBBcmVu4oCZdA==?=
 You?","Repeat User Email










Hi support happyhaat ,
Your competitors are making their mark, and you don’t want to miss out on the action! Now is the perfect time to showcase your products and services at the hottest events. Don’t let them steal the spotlight – it’s your turn to shine.





Take action now and find the perfect event to showcase your business: Explore Events

Looking forward to seeing you thrive!Best,10Times Team







Unsubscribe From This List | Manage Email Preferences",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?Is_Seoul_National_University_equivalent_to_Harvard/Stanford_Univer?=
 =?utf-8?q?sity=3F?=","Is Seoul National University equivalent to Harvard/Stanford University?I attended Harvard as an undergraduate student, and SNU as a graduate student. I studied physics. Even though SNU is one of the best universities in Korea, if not the best university in Korea, … Top stories for Support Is Seoul National University equivalent to Harvard/Stanford University?Youngsub Yoon, studied at Harvard University • Answered August 20, 2018I attended Harvard as an undergraduate student, and SNU as a graduate student. I studied physics. Even though SNU is one of the best universities in Korea, if not the best u... Read more »855118 Your response is privateWas this worth your time?This helps us show content you find valuable.  Absolutely notDefinitely yes How do you smile today?Aditi Singh, Me and me❤️ • Answered June 12I'm a 19 year old girl and to be honest nobody truly knows the real me. During my dropper phase I went through a lot it was traumatic as my neet exam didn't go well enough ... Read more »293151 My sugar level - HbA1c is 10.6. How do I reduce it in addition to tablets? Is there any natural way?Francis Anthony, Worked as Advisor for IT at Government of Oman • Answered May 23My fasting sugar was close to 200 on an average and my HbA1C 10.2. I was on Glycomet 500SR twice a day. One day I decided to resume my walking regime, which I was neglecting... Read more »42259 Do glasses worsen your eyesight?Gabriel, Practicing Optometry since 1996. • Answered April 30, 2016The short answer is no. But there's more to it. As an Optometrist I've been trying to figure out how to best handle Myopic changes for 20yrs. Typically the myopic patient p... Read more »33632 What is the salary after SSC CGL?Satyam, Inspector at Central Board of Excise and Customs (2023-present) • Answered July 1I have been working as a GST Inspector which is 4600 grade pay post. So, i will tell you what salary you will get if you join a 4600 grade pay post. Basic Pay - 46200 Dearnes... Read more »21840 How can a man increase his testosterone?Raza Ekhsan Mulyana, Copywriter, Ghostwriter (2023-present) • Updated February 10The average testosterone levels in men have dropped 25% since 1999. A lot of men are strong and full of testosterone. But, as soon as they hit 35–40 years old, they become ob... Read more »4K232 How can I make $2,000 per week with just my laptop?Petr Baudis, used to freelance as a programmer and AI researcher • Answered October 12, 2018A naive idea (that worked for me): Consulting programmer. $2000 a 5-day week is $400 an 8-hour day, which is $50 an hour. That’s not an astronomical wage for a programming f... Read more »1.7K667 WAYS TO BECOME COLDHoorab Jahangeer, Teacher (2022-present) • Posted Oct 22, 20241. Be calm. 2. Talk less. 3. Avoid drama. 4. Be less reactive. 5. Make eye contact.... Read more »4.7K95 What are the worst things for your skin?Luisa Fanzani, Skincare formulator and brand owner @ Luisa True Skincare • Answered September 29, 2024There are plenty of things people do that are poison for the skin. I have a long list to share with you! Here are some of the worst things for your skin: Touching it and scra...Read more »1158 Do Muslims hate Christians?Mark Harrison, Part-time CTO for several companies • Answered August 13, 2023There is a church about 15 miles north of where I live that was struggling with a particular problem. Namely that while they wanted to help feed the homeless on Christmas Da... Read more »6.9K2K Is the IIT tag really important?Sayan Mukherjee, Proud Indian • Answered January 20Depends upon the people, I'll give two examples This is Nishant Jindal. He went viral from Quora when one of his Answers about clearing ‘JEE Advance in 6 months’ was shared ... Read more »1K45 My WhatsApp account was hacked. How can I locate the hacker?Jocasta Radcliffe • Answered July 7P̥ͦe̥ͦo̥ͦp̥ͦl̥ͦe̥ͦ ̥ͦo̥ͦf̥ͦt̥ͦe̥ͦn̥ͦ ̥ͦs̥ͦḁͦy̥ͦ ̥ͦt̥ͦh̥ͦe̥ͦ ̥ͦm̥ͦo̥ͦo̥ͦn̥ͦ ̥ͦs̥ͦh̥ͦi̥ͦn̥ͦe̥ͦs̥ͦ ̥ͦb̥ͦr̥ͦi̥ͦg̥ͦh̥ͦt̥ͦe̥ͦs̥ͦt̥ͦ ̥ͦr̥ͦi̥ͦg̥ͦh̥ͦt̥ͦ ̥ͦb̥ͦe̥ͦf̥ͦo̥ͦr̥ͦe̥ͦ ̥ͦd̥ͦḁͦ... Read more »7Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
tamara.shamsi@sslcommerz.com,Invitation to join SSLCOMMERZ Consumer Campaign 2025_Phase 2,"Dear Mr. Ahmed Rehanul Bari Chowdhury,
You will be glad to know that SSLCOMMERZ is launching an exciting
Consumer Campaign 2025_Phase 2 for you, M/S. FamImagination which will run from
August 5, 2025, to August 31, 2025. This initiative is designed to boost online transactions and reward high-spending customers during the campaign period.
Campaign Highlights:

Customers paying via SSLCOMMERZ will enjoy a
minimum 10% discount, which will be borne by the merchant.Customers will get a discount by paying through all the channels of SSLCOMMERZ.Among all participating merchants, the top
3 highest customers will be selected to receive exclusive prizes, with an Air Conditioner (AC) as the grand prize,
sponsored by SSLCOMMERZ.
Promotional Support:

SSLCOMMERZ will provide campaign banners and run a full-scale promotional campaign across online channels.Merchants are requested to showcase the campaign banner on their homepage and promote it through their own digital platforms.Once enrolled, merchants are expected to continue participation throughout the campaign duration.
To Confirm Your Participation:
Kindly share the following information by August 3, 2025:

Discount offer (with maximum discount amount, if applicable)Company logo in AI format
Campaign Setup Request:
• Store ID: 
• Base URL: 
• Discount Percentage: 
• Maximum Discount Amount (if any): 
• Minimum Order Value (if any):
• Discount Limit (if any): 
• Remarks: All the customers paying through SSLCOMMERZ will get a discount.
If you have any questions or need assistance, feel free to reach out. We look forward to your participation and a successful campaign ahead.
 
Thanks & Regards,
Tamara Shamsi 
Key Account Manager

Address: 93 B, New Eskaton Road, Dhaka – 1000, Bangladesh 
Mobile: +8801 943463750 |
Web: www.sslcommerz.com | E-mail: 
tamara.shamsi@sslcommerz.com",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?I_am_a_17_year_old_Muslim_girl=2E=2E_I_met_a_boy_same_age_as_me_an?=
 =?utf-8?q?d_he=27s_also_a_muslim=2E=2E_W=2E=2E=2E?=","I am a 17 year old Muslim girl.. I met a boy same age as me and he's also a muslim.. W...I am a 17 year old Muslim girl.. I met a boy same age as me and he's also a muslim.. We met thorough a game.. We got close and I ended up sharing my photos with him.. We have fallen for each o… Top stories for Support No1, Student • Posted Apr 4I am a 17 year old Muslim girl.. I met a boy same age as me and he's also a muslim.. We met thorough a game.. We got close and I ended up sharing my photos with him.. We have fallen for each other.... Read more »487549 My eye number is -3.75 and -2.50. Is it very weak? Do I need to wear glasses all the time? Will this improve or get worse?Bill Otto, Top Writer Eyesight & Optometry at Quora • Answered November 4, 2021What you refer to as your eye number is a prescription that tells what focal length of lenses are needed to focus images at your retina of distant objects. Since the numbers... Read more »13622 What is the salary after SSC CGL?Satyam, Inspector at Central Board of Excise and Customs (2023-present) • Answered July 1I have been working as a GST Inspector which is 4600 grade pay post. So, i will tell you what salary you will get if you join a 4600 grade pay post. Basic Pay - 46200 Dearnes... Read more »22843 What should I apply to reduce wrinkles and fine lines?Luisa Fanzani, Skincare formulator and brand owner @ Luisa True Skincare • Answered June 10As a pharmacist and cosmetic formulator, I’ve seen the best approach to reduce wrinkles and fine lines consists in using a cocktail of ingredients AND a healthy lifestyle. ... Read more »17613 🇪🇺 Europe is saying NO to mass immigration!Oliviasia • Posted Jul 17📊 A massive majority in key countries believe immigration is too high: 🇩🇪 Germany – 81% 🇪🇸 Spain – 80% 🇸🇪 Sweden – 73% 🇬🇧 UK – 71%... Read more »465171 At AIIMS, what is the fee structure per annum?Arul Agarwal, MBBS from All India Institute of Medical Sciences, Raebareli (2024) • Answered October 12, 2019At AIIMS we have minimal fees, the major reason for this is AIIMS is under direct authority of central government. This is whole fees for 5 years out of which 1500 are refun... Read more »1.2K77 Why do people wear chains during an MRI?Mary Gordon, studied Forestry at University of Toronto • Answered July 21That fellow who died was not having an MRI. His wife was having one done on her knee. He was wearing a 9 kg chain (almost 20lb)…yes, I know. Not a normal thin jewelry chain... Read more »755168 Do you like your name?Pragya Rajput, Learner • Answered November 4, 2024Hey you all ❤️ Hope you are doing amazing and if not then don't worry eventually you will 🙌 Absolutely, I love my name! Whenever someone asks, ""What's your name?"" I proudly ... Read more »289178 7 Proven Ways to Increase Testosterone NaturallM Kumar, studied at Government Schools (2000) • Posted Aug 5, 20231. Working out Exercise, especially resistance training, is one of the most effective ways to boost testosterone levels. Aim for at least 30 minutes of exercise per day, focusing on compound movement... Read more »31710 What is ABCDEFGH?Gopalkrishna Vishwanath, No formal qualifications for teaching English.Just 60 years experience using it • Answered July 5After fifteen years of marriage a wife asked her husband to describe her. The Husband said: ABCDEFGH! Wife: What does that mean? Husband: Adorable, Beautiful, Cute, Delightful... Read more »1K57 Why do universities teach C/C++?Joshua Gross, Associate Professor of Computer Science at CSUMB • Updated September 28, 2024There’s an old joke. Two fish are swimming along, and another, older fish swims by and says, “Water’s nice today, huh?” A moment later, one of the two fish turns to the othe... Read more »5K303 What are some cool WhatsApp tricks?Praveen Rana, Developing hacks for lives • Updated March 19, 2018DELETE FOR EVERYONE, even after 7 minutes So we have this new WhatsApp feature called DELETE FOR EVERYONE which appear when you try to delete a message, This is how it looks ... Read more »16.5K261Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?Early_symptoms_of_kidney_failure=28Disease=29_at_Night_?=
 =?utf-8?q?=F0=9F=98=94?=","Early symptoms of kidney failure(Disease) at Night 😔When the kidney gets damaged, the patient may experience the following symptoms - Frequent urination: * Frequent urination is one of the early symptoms of kidney problems. Patients face this p… Top stories for Support Early symptoms of kidney failure(Disease) at Night 😔Vikash, 🚴 Be healthy - Be Happy 🌳 • Posted Oct 28, 2024When the kidney gets damaged, the patient may experience the following symptoms - Frequent urination is one of the early symptoms of kidney problems. Patients face this problem mo...Read more »1.4K92 How much did you score in 12th board's?Prerna, studied at Kendriya Vidyalaya • Answered July 21, 2023Chem: 98, phy: 95, Maths: 79 (practice kam thi) Cs: 91... Read more »1.3K390 My father is no more. He has left a big credit card bill which I am not able to pay because I am studying in 11th class only and my mother is not well educated to do a job. What should I do?Chandan Gupta • Answered July 17If the credit card was only in your father’s name, you and your mother usually don’t have to pay from your own money. The bank can claim the money only from what your fathe... Read more »2K172 Why doesn't everyone that wears glasses get Lasik?Amatyameenati, Exteacher • Answered June 2When I decided to go for LASIK at the age of twenty I was rejected because of high power . I had ~ 8.5 . LASIK is possible before age forty because after age forty a person ... Read more »26217 I am 38 and I have not achieved much in life. Is it too late?Dave Morgan, former Instructor at Southern Alberta Institute of Technology (2005-2018) • Updated August 23, 2019At 38, I was losing interest in my job as a carpenter and my back hurt. At 40, I had my first child, a girl. At 42, my first son. At 45, I entered university. At 50, I had ... Read more »37.3K1.9K How bad is vaping compared to actual smoking?Marathon Man, Business Administrations Director at Signature Sign and Lighting (2023-present) • Answered February 18Immeasurable. The one is just nothing like the other. At. All. I smoked Marlboro Reds at a pack a day from when I was 19–41. At 41, I started having very serious problems. ... Read more »37991 🇪🇺 Europe is saying NO to mass immigration!Oliviasia • Posted Jul 17📊 A massive majority in key countries believe immigration is too high: 🇩🇪 Germany – 81% 🇪🇸 Spain – 80% 🇸🇪 Sweden – 73% 🇬🇧 UK – 71%... Read more »481173 Will my acne scars go away?Sagar Gaigawale, Engineer with A huge apetite for Sports. • Updated August 27, 2018Disclaimer : I didn't go through all the answers, so if this is a repeat answer just Ignore it. I'm a 22 year old guy and i had acne problem for almost more than 5 years. I ... Read more »90350 I have HIV symptoms but the test is negative. What should I do?Robert Hamilton, G as in LGBTQ+. Supporting liberty, equality and diversity. • Answered October 18, 2024Firstly, step back to the date of your last exposer. In the confinements of such intimacy, ask yourself what did you actually do or allow for you to be potentually exposed ... Read more »274 Which is best, Manipal, SRM or VIT?Rajan Kumar, Sr Admission Counsellor 9334478568 at College and University Admissions (2011-pr... • Answered November 2, 2024All these colleges are one of the best private engineering college of India . Applicants should select a college based on placements , exposure, infrastructure, research an... Read more »2110 How can I recover my Gmail password without a recovery phone number or email?Comeaux Sandra, lives in Sydney, Australia (2011-present) • Answered May 27You can check your email for where you save passwords , eg keychain, file browsers or even your notepad.sometimes I end up saving mine to the keychain which regularly get’... Read more »21220 What is the salary of a tax assistant in SSC CGL?Ankur Kumar, Tax Assistant at Income Tax Department, Government of India (2023-present) • Updated December 30, 2023Tax Assistant in Income Tax Department is level 4 job i.e basic pay 25,500. Salary also depends on class of city i.e X city , Y city and Z city, DA Rates(Revises after ever... Read more »1.3K160Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
sugaya.shunki@atb-jobs.com,"=?utf-8?Q?=E2=9A=A1?= Smarter hiring and stronger branding
 =?utf-8?Q?=E2=80=94?= all in one place","Hi Happy Haat,







Smarter hiring and stronger branding — all in one place
atB Jobs is more than just a hiring platform — we help you build your
employer brand while hiring the right talent.

Your Branding Package Includes:



🎯
Top Banner Placement On the atB Jobs homepage — seen by over 2 million job seekers monthly


🏢
Direct Traffic to Your Profile Boosting your visibility among active candidates


🖼️
Customizable Banner Easily upload, update, or change your banner anytime


📆
1-Month Exposure Keeping your brand top-of-mind while you hire




This is a great way to attract more applications, build brand trust, and stand out in a competitive market.
👉 Let's make your brand visible to the right talent.




 
Contact Us
Reach 2M+ job seekers with your company banner on atB Jobs





Warm regards,
The atB Jobs Team
This is a system generated message. Do not reply.










atB Jobs Bangladesh
11th Floor, MMK-Aakash Avenue, Plot No. 12, Kamal Ataturk Avenue, Gulshan-2, Dhaka-1212, Bangladesh
+8801400492818
info@atb-jobs.com






    Don't want any more emails? 
    
       Unsubscribe here",No Attachment
english-quora-digest@quora.com,"=?utf-8?q?I_am_14_years_old_with_really_high_myopia=2C_-5=2E_I=E2=80=99m_rea?=
 =?utf-8?q?lly_scared_that_I_might_get_a_r=2E=2E=2E=3F?=","I am 14 years old with really high myopia, -5. I’m really scared that I might get a r...?I think I’ve answered several of your questions on this topic before, and I can’t add to them. -5D is NOT high, it’s moderate. Your eyesight may get worse OR BETTER over the next 5–10 years, d… Top stories for Support I am 14 years old with really high myopia, -5. I’m really scared that I might get a retinal detachment. Does anyone have tips on how to prevent retinal detachments or improve my eyesight?Rachel Anderson, Batwoman • Answered October 8, 2020I think I’ve answered several of your questions on this topic before, and I can’t add to them. -5D is NOT high, it’s moderate. Your eyesight may get worse OR BETTER over the ... Read more »18418 What is the in-hand salary a recently joined engineer at BHEL receives?Nitish Kumar(नीतीश कुमार), Salary at PSUs • Answered July 12BHEL has a pay structure of ₹50,000–₹1,60,000 for new joiners. This is the salary slip for new joiners , the in-hand salary during the one-year training period is around ₹75... Read more »10820 Are colonoscopies really necessary?Erica Orchard, lives in The United Kingdom (1967-present) • Answered April 14My grandmother, mother and brother all had colon cancer. My brother died from it aged 57. I was told that genetic testing wasn't really helpful because bowel cancer is real... Read more »766 What is my real skin color? When I was younger I had a lighter skin color and now I have a darker skin colorJason Ford, studied Computer Science at Howard University • Answered January 14, 2018Depending on your genetics, and how sunny it is in the region you live, your skin tone can change dramatically. Skin color is controled by several factors: The color of fles...Read more »722 Can a narcissist forget you?Asked in Rising Above Narcissism • Answered by Angela T. Nicholson • July 14They won’t FORGET you!! No matter how they seem on the outside; narcissists are stuck in the past -constantly thinking about the people they hurt.. yep believe it or not thi... Read more »31522 Can I get an honest reality of being a nurse? I have always wanted to be a nurse, but have recently not heard great things about it. I have wanted to go into healthcare for years and am now doubting myself.Susan Spande, ICU (2007-present) • Updated January 17There's no one side to nursing. It's not a monolith. Office nurse? Fantastic if you like having zero stress. To some, this is really boring.School nurse? Great benefits, but...Read more »476 I received an offer from Oxford, but not from my first choice college. I know that this is common, but the college which made me an offer would be seen as an ""upgrade"". How common is this, and why might it happen?Benjamin Murphy, studied at University of Oxford • Answered January 20, 2022So let me guess, you applied to Christ Church and, to your amazement, you were offered a place at Pembroke. Congratulations! It is very common for students to be accepted by... Read more »81532 How do cancer cells spread and grow even after surgery and treatments like chemo and radiation?David Wacks, Retired Lawyer Still Helping the Wrongly Accused at CRB Problems Ltd  • Answered July 2I am not an oncologist but just someone who is living with 2 cancers over 13 and 20 years and learnt a bit . Cancer is not just an evil spot to be cut out but a process caus... Read more »27919 Can you get pregnant on the first try?Trish Marshall, Have been pregnant 4 times • Answered July 24I have been pregnant 4 times. All 4 times have been on purpose. I was shocked the 1st time. I was certain it would at least take months. We decided to stop preventing after ... Read more »13916 How can I recover a deleted Snapchat account?Asked in Snapchat ss • Answered by Cameron • July 2, 2023𝘐𝘧 𝘺𝘰𝘶𝘳 𝘚𝘯𝘢𝘱𝘤𝘩𝘢𝘵 𝘢𝘤𝘤𝘰𝘶𝘯𝘵 𝘩𝘢𝘴 𝘣𝘦𝘦𝘯 𝘩𝘢𝘤𝘬𝘦𝘥 𝘰𝘳 𝘥𝘦𝘭𝘦𝘵𝘦𝘥, 𝘵𝘩𝘦𝘳𝘦 𝘢𝘳𝘦 𝘢 𝘧𝘦𝘸 𝘴𝘵𝘦𝘱𝘴 𝘺𝘰𝘶 𝘤𝘢𝘯 𝘵𝘢𝘬𝘦 𝘵𝘰 𝘵𝘳𝘺 𝘵𝘰 𝘳𝘦𝘤𝘰𝘷𝘦𝘳 𝘪𝘵:1. 𝘛𝘳𝘺 𝘳𝘦𝘴𝘦𝘵𝘵𝘪𝘯𝘨 𝘺𝘰𝘶𝘳 𝘱𝘢𝘴𝘴𝘸𝘰𝘳𝘥: 𝘐𝘧 𝘺𝘰𝘶 𝘢𝘳𝘦 𝘴𝘵𝘪𝘭𝘭 𝘢𝘣𝘭𝘦 𝘵𝘰 𝘢𝘤𝘤𝘦𝘴𝘴... Read more »795 My blood sugar is 234 after a 2-hour meal. I am not taking medicine. I do a 30-minute walk after every meal and I am 40 years old. What should I do?VC Chowdary, M.Sc Physiology and Zoology, Sri Venkateswara University (1980) • Updated February 7I assume your statement “My blood sugar is 234 after a 2-hour meal” to mean that your blood sugar measured 2-hours after a meal is 234 mg/dL, that is postprandial sugar (PB... Read more »54793 Why doesn't everyone that wears glasses get Lasik?Amatyameenati, Exteacher • Answered June 2When I decided to go for LASIK at the age of twenty I was rejected because of high power . I had ~ 8.5 . LASIK is possible before age forty because after age forty a person ... Read more »26217Read more in your feedNever miss a story. Designed for readers on the go.  Missing out on Quora emails? Be sure to add us to your primary inbox.This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).If you don't want to receive this type of email in the future, please unsubscribe.https://www.quora.com",No Attachment
onlinepayment@sslcommerz.com,"Successful Transaction Notification - [Paid by Nahid] INV6885DFDE1F68B
 [HAPPYHAAT]","SSLCommerz Secure Payment





























CongratulationA successful transaction is made through SSLCOMMERZ Gateway.Transaction IDINV6885DFDE1F68BReference SSL ID250801140121cCjdaAEKIRQewTransaction Amount1075.00 BDTTransaction Time2025-08-01 14:03:27Card TypeVISA-City BankTransaction StoreHAPPYHAATTransaction MerchanthappyhaatCustomer InformationCustomer Name NahidCustomer Email support@happyhaat.comCustomer Phone 01841977841 








                    
                        93 B, New Eskaton Road, Dhaka-1000
                        Phone: +880-9677-726222, +880-2-8316969
                        E-mail: support@sslcommerz.com
                        Web: www.sslcommerz.com









--",No Attachment
onlinepayment@sslcommerz.com,Payment Received For Transaction ID 250801140121CCJDAAEKIRQEW,"SSLCOMMERZ Invoice











                            Invoice
                        













 Transaction ID  
                                            INV6885DFDE1F68B
                                        

 Merchant Name  
                                            happyhaat
                                        



 Date of Payment  
                                            Aug 01, 2025 
                                        

 Payment Currency  
                                            BDT
                                        



Card/Account Number  470661XXXXXX6159
                                            Authorization Code  864003
                                        

 Payment Type   
                                            VISA
                                        




BILLED TO 
 NAHID 
                                122/B, Aali Ashraf aabash, moneshshor road, zigatola, dhaka  

                                Phone: 01841977841 
                                Email:  support@happyhaat.com 











                            Description
                        
Product NameUnit PriceQuantityPrice5 kg  Gouromoti mango0.0011075.00 




Order desc/INV6885DFDE1F68B 






                                                    Price: 
                                                    Shipping & Handling: 
                                                    
                                                    
                                                    Sub Total: 
 Total: 


 1075.00  
                                                    BDT 0.00 
                                                    
                                                    
                                                    1075.00  
 BDT 1075.00 




















                                        Convenience Fee
                                    

                                        0
                                    



                                        BDT Amount
                                    

                                        1075.00
                                    



                                        Request Amount
                                    

                                        BDT 1075.00  
                                    



                                        Amount paid
                                    

                                        BDT 1075.00
                                    














Bank Name: Standard Chartered Bank | Bank Location: Bangladesh | IP Address: 103.173.2.143


                        If you have not authorised the transaction then please reply this email with reason.
                        You can send us e-mail at
                         support@happyhaat.com  or
                         operation@sslcommerz.com
                        . 
                        For refund policy please visit the website (https://happyhaat.com/).
                    



                        For self query, please  click here 





                        Want to check for our regular offers, see all your transactions online or have any
                        complaints? Kindly visit
                        
                            my.sslcommerz.com.
                         

                        Own a business, or know anyone who does? Then  sign up in 5 minutes  for a free 7 day trial.

                        
We’d be grateful if you could take a moment to leave us a quick review, on your payment experience, on Google: Click here




                        Payment Gateway Solution Powered By:",250801140121CCJDAAEKIRQEW.pdf
onlinepayment@sslcommerz.com,Daily Transaction Report - 2025-08-01,"SSLCommerz Secure Payment































Transaction Report Date: Fri, 01 Aug 2025
[ 12:00 AM to 11:59 PM ]

Merchant Store ID: happyhaat0live



Transaction
Amount
Card
Bank
Status
Time
IP Country
Card Number/Ref Id


INV6885DFDE1F68B
1075.00
VISA
Standard Chartered Bank
SUCCESS
2025-08-01 14:01:21
103.173.2.143Bangladesh
470661XXXXXX6159





**This is a System Generated Reporting email to update your daily transaction list. For any query please email operation@sslcommerz.com











                    
                        93 B, New Eskaton Road, Dhaka-1000
                        Phone: +880-9677-726222, +880-2-8316969
                        E-mail: support@sslcommerz.com
                        Web: www.sslcommerz.com",No Attachment
